"","jpm$text","text_clean"
"13085","R u really naive/stupid/dishonest enough 2 believe that a bit of PR spin on twitter will make ppl trust # banksters again? # AskJPM","R u really naive/stupid/dishonest enough 2 believe that a bit of PR spin on twitter will make ppl trust  again? "
"13086","Do you honestly think you deserve to get paid about 1000x more than your tellers? @ jpmorgan # AskJPM","Do you honestly think you deserve to get paid about 1000x more than your tellers?  "
"13087","# AskJPM Mr. Dimon many are jealous of your amazingly accurate gold selling at much higher prices. Are you still bearish on gold?"," Mr. Dimon many are jealous of your amazingly accurate gold selling at much higher prices. Are you still bearish on gold?"
"13088","Now this is funny: # AskJPM","Now this is funny: "
"13089","# AskJPM Do you take lemon or honey with your tempest in a teapot?"," Do you take lemon or honey with your tempest in a teapot?"
"13090","Jamie, were you on boombox when that stripper visited the Toronto Stock Exchange? # AskJPM pic.twitter.com/X34DjibFH1","Jamie, were you on boombox when that stripper visited the Toronto Stock Exchange?  pic.twitter.com/X34DjibFH1"
"13091","JPMorgan asked people to send in questions on twitter using hashtag # AskJPM. It's hilarious.","JPMorgan asked people to send in questions on twitter using hashtag  It's hilarious."
"13092","Can I get in on your next rate-rigging scheme? I missed out on LIBOR, so I'm looking to make up for it this time. # AskJPM","Can I get in on your next rate-rigging scheme? I missed out on LIBOR, so I'm looking to make up for it this time. "
"13093","How does it feel to be a force for evil in the world? # AskJPM","How does it feel to be a force for evil in the world? "
"13094","Multi-tasking? Despite Eight Ongoing Criminal/Civil Investigations of JPMorgan, the BankÍs a Law Enforcement Partner With the NYPD # askjpm","Multi-tasking? Despite Eight Ongoing Criminal/Civil Investigations of JPMorgan, the Bankü¾™†Œ¼s a Law Enforcement Partner With the NYPD "
"13095","ñ @ faiselr: How JPMorgan's Latest PR Stunt Blew Up In Its Face, just search # AskJPM ref: http://tinyurl.com/pkldg5x ouch!!!","ü¾Œ–˜¼  How JPMorgan's Latest PR Stunt Blew Up In Its Face, just search  ref: ouch!!!"
"13096","corpounreal: # AskJPM What motivates you? Is it pure hatred for the rest of humanity, or absolute love for yourselves?","corpounreal:  What motivates you? Is it pure hatred for the rest of humanity, or absolute love for yourselves?"
"13097","# AskJPM Are you sending Elizabeth Warren a Christmas card?"," Are you sending Elizabeth Warren a Christmas card?"
"13098","When was William Wallace born? Quick! It's for a test. # AskJPM","When was William Wallace born? Quick! It's for a test. "
"13099","Mo money, mo problems, amirite? # AskJPM","Mo money, mo problems, amirite? "
"13100","When your bank grows faster than the underlying economy„i.e. takes more value than it makes„does it get angry letters from Mitt? # AskJPM","When your bank grows faster than the underlying economyü¾ƒ ¼i.e. takes more value than it makesü¾ƒ ¼does it get angry letters from Mitt? "
